id,comment,offensive_label,link_post,rationales_annotator1,rationales_annotator2
1378,"E ainda por cima é rebelde, frustado, revoltado, isso é as piores qualidades de um ser humano Deus tem misericórdia de nós.🙌🙌",1,https://www.instagram.com/p/B42JqHMFyiu/,"é rebelde, frustado, revoltado, isso é as piores qualidades de um ser humano","rebelde, frustado, revoltado, isso é as piores qualidades de um ser humano; "
1379,Filhos de uma amada e bem aventurada; incentivando a desordem e o caos... mandar o Adélio botar chumbinho na cachaça que ele toma!,1,https://www.instagram.com/p/B42JqHMFyiu/,mandar o Adélio botar chumbinho na cachaça que ele toma,mandar o Adélio botar chumbinho na cachaça que ele toma;
1380,Isso é incitar o ódio devia ser preso só poriço,1,https://www.instagram.com/p/B42JqHMFyiu/,Isso é incitar o ódio devia ser preso,Isso é incitar o ódio devia ser preso só poriço;
1381,Abatam esse verme!,1,https://www.instagram.com/p/B42JqHMFyiu/,Abatam esse verme,Abatam esse verme;
1382,"PT VERGONHA MUNDIAL! TENHO VERGONHA DE TER TUDO UM PRESIDENTE LIXO COMO ESSE CARA CHAMADO LULA, NÃO RESPEITA NINGUÉM É NÃO MERECE NOSSO RESPEITO! É APENAS UM CONDENADO EM LIBERDADE PROVISÓRIA! #LULAVOLTAPTACADEIA",1,https://www.instagram.com/p/B42JqHMFyiu/,PT VERGONHA MUNDIAL; TENHO VERGONHA DE TER TUDO UM PRESIDENTE LIXO; NÃO RESPEITA NINGUÉM É NÃO MERECE NOSSO RESPEITO; É APENAS UM CONDENADO EM LIBERDADE PROVISÓRIA; #LULAVOLTAPTACADEIA,#LULAVOLTAPTACADEIA; UM PRESIDENTE LIXO; PT VERGONHA MUNDIAL; NÃO RESPEITA NINGUÉM É NÃO MERECE NOSSO RESPEITO;
1383,Devia ser preso novamente esse bandido ao falar isso!,1,https://www.instagram.com/p/B42JqHMFyiu/,Devia ser preso novamente esse bandido,esse bandido;
1384,Vagabundo! Déspota! Demiurgo!,1,https://www.instagram.com/p/B42JqHMFyiu/,Vagabundo; Déspota; Demiurgo,Vagabundo; Déspota; Demiurgo;
1385,"Deus seja com todos que repudiam essas atitudes satânicas, esses adoradores do diabo não diminarão nunca mais a nossa nação, aqui se levantou um povo que ama a Deus acima de tudo e o Brasil acima de todos!!!",1,https://www.instagram.com/p/B42JqHMFyiu/,"atitudes satânicas, esses adoradores do diabo não diminarão nunca mais a nossa nação",esses adoradores do diabo; essas atitudes satânicas;
1386,"Lula, foda-se.",1,https://www.instagram.com/p/B42JqHMFyiu/,"Lula, foda-se","Lula, foda-se; "
1387,Que maldito esse ser...😬😤#somostodosbolsonaro.,1,https://www.instagram.com/p/B42JqHMFyiu/,Que maldito esse ser,Que maldito esse ser;
1388,"Esse terrorista é problemático e não sabe o que diz,mas, faz merda que é um campeão.Nojento....",1,https://www.instagram.com/p/B42JqHMFyiu/,Esse terrorista é problemático e não sabe o que diz; faz merda que é um campeão; Nojento,Esse terrorista é problemático; faz merda que é um campeão; Nojento;
1389,Essa criança não significa nada. Esse assunto é secundário. O assunto mais importante da humanidade é como acabar com a CORRUPÇÃO.,1,https://www.instagram.com/p/B2xPpppAUaN/,Essa criança não significa nada,Essa criança não significa nada
1390,"@jamesson634 aí vc vai ver quem crítica o Haddad; gente pobrinha, que defende gente rica, que cagou literalmente para os pobres e os s pontinhos",1,https://www.instagram.com/p/Cy56zeNLzPE/,"gente pobrinha, que defende gente rica, que cagou literalmente para os pobres",que cagou literalmente para os pobres e os s pontinhos;
1391,Esse criminoso é uma aberração.,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse criminoso é uma aberração,Esse criminoso é uma aberração;
1392,"Temos que calar a boca deste idiota, sai fora idiota vc tá procurando e vai achar.",1,https://www.instagram.com/p/B42JqHMFyiu/,"calar a boca deste idiota, sai fora idiota vc tá procurando e vai achar","Temos que calar a boca deste idiota, sai fora idiota; "
1393,"Esse lula é um demônio,tem que ser preso novamente 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",1,https://www.instagram.com/p/B42JqHMFyiu/,"lula é um demônio,tem que ser preso novamente",Esse lula é um demônio; tem que ser preso novamente;
1394,"Povo deveria resistir mesmo , fazer igual Chile botar fogo no luladrão STF na corrupção seria ótimo começando por eles que é patrimônio de bosta!😂😂😂😎😎🇧🇷 ele.quer joga ele na Paulista",1,https://www.instagram.com/p/B42JqHMFyiu/,fazer igual Chile botar fogo no luladrão STF na corrupção; patrimônio de bosta; joga ele na Paulista,luladrão; patrimônio de bosta;
1395,Larápio canalha,1,https://www.instagram.com/p/B42JqHMFyiu/,Larápio canalha,Larápio canalha;
1396,Esse maldito deve ser preso,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse maldito deve ser preso,Esse maldito;
1397,Esse verme tem que voltar prá cadeia!!!,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse verme tem que voltar prá cadeia,Esse verme tem que voltar prá cadeia;
1398,"Esse Lula é um canalha, bandido, corrupto e falastrão! Tristesa ver um povo iludido sendo enganado por este verme! Porquê não prendem ele de novo por incitação a violência? Por calúnia e difamação de um Ministro Integro como o Moro? Tem que haver uma forma de levar esse bandido de volta pra cadeia!",1,https://www.instagram.com/p/B42JqHMFyiu/,canalha; bandido; corrupto; falastrão; enganado por este verme; Porquê não prendem ele de novo por incitação a violência?; calúnia; difamação; levar esse bandido de volta pra cadeia,canalha; bandido; corrupto; falastrão; esse bandido;
1399,"Incitação do ódio, muito típico de vagabundos como Lula e Maduro. Como sempre nada mudou, devia ter ficado encarcerado em uma penitenciária comum, pois não tem né",1,https://www.instagram.com/p/B42JqHMFyiu/,Incitação do ódio muito típico de vagabundos como Lula e Maduro; devia ter ficado encarcerado em uma penitenciária comum,vagabundos; Incitação do ódio;
1400,"Jamais desistir! Este país é nosso. Este canalha convoca abertamente os marginais para apoiá-lo em uma revolução, quando diz que não suporta ver a polícia oprimir jovens que roubam celulares. Que tamanho absurdo! O Brasil vai crescer e ser uma grande potência mundial.",1,https://www.instagram.com/p/B42JqHMFyiu/,Este canalha; marginais,Este canalha; os marginais
1401,Nessa hora a mão que segura o porrete chega treme,1,https://www.instagram.com/p/B42JqHMFyiu/,a mão que segura o porrete chega treme,Nessa hora a mão que segura o porrete chega treme;
1402,Devia ter vergonha em falar a palavra honra,1,https://www.instagram.com/p/B42JqHMFyiu/,Devia ter vergonha em falar a palavra honra,Devia ter vergonha em falar a palavra honra;
1403,Nojo desse bandido,1,https://www.instagram.com/p/B42JqHMFyiu/,Nojo desse bandido,Nojo desse bandido
1404,O ladrão do Lula quer fazer do nosso país o q Stálin fez com a antiga URSS. 54 anos no poder. Não vamos permitir! Estamos com Bolsonaro!,1,https://www.instagram.com/p/B42JqHMFyiu/,O ladrão do Lula quer fazer do nosso país o q Stálin fez com a antiga URSS,O ladrão do Lula;
1405,Canalha.. Bandido.. quer ver sangue de irmãos brasileiros.. para satisfazer seu ego .. Bandido.,1,https://www.instagram.com/p/B42JqHMFyiu/,Canalha; Bandido; quer ver sangue de irmãos brasileiros para satisfazer seu ego,Canalha; Bandido; quer ver sangue de irmãos brasileiros para satisfazer seu ego;
1406,Esse homem é diabólico,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse homem é diabólico,Esse homem é diabólico
1407,Que nojo dessa ladrao!,1,https://www.instagram.com/p/B42JqHMFyiu/,Que nojo dessa ladrao,Que nojo dessa ladrao!
1408,#stféumavergonhanacional,1,https://www.instagram.com/p/B42JqHMFyiu/,#stféumavergonhanacional,#stféumavergonhanacional
1409,"Esse cara deveria estar preso, ele vai da trabalho estando solto ,pois ele é um bandido perigoso, com certeza irá tentar fazer igual no Chile. Cuidado isso e cobra venenosa.",1,https://www.instagram.com/p/B42JqHMFyiu/,Esse cara deveria estar preso; vai da trabalho; bandido perigoso; cobra venenosa,isso e cobra venenosa;
1410,"Que bandido ousado. Imagina se Bolsonaro falasse uma barbaridade dessas a esquerdalha burra caia de pau, mas foi o jumento que incitou a baderna eles aplaudem , porque tal pai ou seja , tal jericó tal os seguidores.",1,https://www.instagram.com/p/B42JqHMFyiu/,Que bandido ousado; a esquerdalha burra caia de pau; foi o jumento que incitou a baderna; tal jericó tal os seguidores,a esquerdalha burra caia de pau; o jumento que incitou a baderna;
1411,Não vale apena ver este marginal e repúdio o que ele fale o lugar dele é a penitenciária.,1,https://www.instagram.com/p/B42JqHMFyiu/,marginal; repúdio o que ele fale,este marginal;
1412,Apenas um bêbado falando!,1,https://www.instagram.com/p/B42JqHMFyiu/,Apenas um bêbado falando,um bêbado;
1413,Tem que acabar com este verme e expulsar comunistas,1,https://www.instagram.com/p/B42JqHMFyiu/,Tem que acabar com este verme e expulsar comunistas,Tem que acabar com este verme; expulsar comunistas;
1414,"Esse filho da puta quer é uma guerra no Brasil,esse cara é um psicopata tem que prender esse crápula,isso é um perigo pra sociedade brasileira",1,https://www.instagram.com/p/B42JqHMFyiu/,filho da puta; esse cara é um psicopata; tem que prender esse crápula; é um perigo pra sociedade brasileira,isso é um perigo pra sociedade brasileira; esse cara é um psicopata; Esse filho da puta; esse crápula;
1415,"Esse que é o bandido ladrão do Lula é terrorista que quer conseguir o PODER na marra, isso foi que esse maldito STF fez com o nosso Brasil. E tem mais uma coisa que esse STF está recebendo ordem do maldito PT, porque a maioria dos Ministros são PETISTAS e seu Presidente foi advogado do PT.",1,https://www.instagram.com/p/B42JqHMFyiu/,bandido ladrão; terrorista; quer conseguir o PODER na marra; maldito STF; recebendo ordem do maldito PT,é terrorista; o bandido ladrão; quer conseguir o PODER na marra; esse maldito STF; maldito PT;
1416,"Presidente manda este traste para Chile,nao queremos o Lula mais aqui já estamos cansados dele.",1,https://www.instagram.com/p/B42JqHMFyiu/,este traste; estamos cansados dele,este traste
1417,Esse bandido devia ser fuzilado,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse bandido devia ser fuzilado,Esse bandido devia ser fuzilado;
1418,Esse bosta tem q voltar pra cadeia já!,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse bosta tem q voltar pra cadeia já,Esse bosta;
1419,Canalha comunista,1,https://www.instagram.com/p/B42JqHMFyiu/,Canalha comunista,Canalha; comunista;
1420,"Lula é um criminoso de corpo, alma e espírito. É um homem demoníaco!!!!!",1,https://www.instagram.com/p/B42JqHMFyiu/,"Lula é um criminoso de corpo, alma e espírito; É um homem demoníaco",É um homem demoníaco; Lula é um criminoso;
1421,Lula lixo 🗑,1,https://www.instagram.com/p/B42JqHMFyiu/,Lula lixo,Lula lixo;
1422,esse cara tá desequilibrado lulalouco,1,https://www.instagram.com/p/B42JqHMFyiu/,esse cara tá desequilibrado lulalouco,esse cara tá desequilibrado; lulalouco;
1423,Luladrão ! Canalha!,1,https://www.instagram.com/p/B42JqHMFyiu/,Luladrão; Canalha,Luladrão; Canalha;
1424,"Deus nós acuda, este Lula só incentiva o que é ruim, que homem nojento",1,https://www.instagram.com/p/B42JqHMFyiu/,Lula só incentiva o que é ruim; homem nojento,este Lula só incentiva o que é ruim; que homem nojento;
1425,"Deus onrre nosso governo. E parabéns pela perseverança, nunca desista do Brasil estamos com vocês, o Brasil precisa de pessos de coragem para enfrentar o militantes vermelho.",1,https://www.instagram.com/p/B42JqHMFyiu/,Brasil precisa de pessos de coragem para enfrentar o militantes vermelho,militantes vermelho;
1426,"Como pode, esse verme, estar solto???",1,https://www.instagram.com/p/B42JqHMFyiu/,"Como pode, esse verme, estar solto?",esse verme
1427,Esse é incendiário,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse é incendiário,Esse é incendiário;
1428,Recuperar o país???? Logo ele que o detonou?!!! Anti Cristo!!!,1,https://www.instagram.com/p/B42JqHMFyiu/,ele que o detonou; Anti Cristo,Logo ele que o detonou?; Anti Cristo;
1429,Sérgio Moro..mande prender esse canalha ele está fazendo incitação a violência,1,https://www.instagram.com/p/B42JqHMFyiu/,mande prender esse canalha ele está fazendo incitação a violência,esse canalha;
1430,Este vagabundo so saiu da cadeia pra cair e vomtar pra lá de vez!,1,https://www.instagram.com/p/B42JqHMFyiu/,Este vagabundo,Este vagabundo
1431,Sério isso .... Ele é doido,1,https://www.instagram.com/p/B42JqHMFyiu/,Ele é doido,Ele é doido
1432,Vagabundo criminoso,1,https://www.instagram.com/p/B42JqHMFyiu/,Vagabundo criminoso,Vagabundo criminoso;
1433,Deus nos livre dos psicopatas,1,https://www.instagram.com/p/B42JqHMFyiu/,Deus nos livre dos psicopatas,psicopatas;
1434,Como pode ter idiotas escutando esse corrupto do PT?,1,https://www.instagram.com/p/B42JqHMFyiu/,idiotas escutando esse corrupto do PT,idiotas; esse corrupto do PT;
1435,"Cara de pau ! não desiste de atormentar o brasileiros , sai em nome de jesus👑 😍",1,https://www.instagram.com/p/B42JqHMFyiu/,Cara de pau; não desiste de atormentar o brasileiros,Cara de pau; não desiste de atormentar;
1436,Vermelha tá a bunda desses vermes !!!!!!,1,https://www.instagram.com/p/B42JqHMFyiu/,Vermelha tá a bunda desses vermes,Vermelha tá a bunda desses vermes;
1437,Excremento! Escória!,1,https://www.instagram.com/p/B42JqHMFyiu/,Excremento; Escória,Excremento; Escória;
1438,Uma desgraça dessa incitando o ódio,1,https://www.instagram.com/p/B42JqHMFyiu/,Uma desgraça; incitando o ódio,Uma desgraça dessa;
1439,Ninguém vai calar essa imundice?,1,https://www.instagram.com/p/B42JqHMFyiu/,Ninguém vai calar essa imundice?,Ninguém vai calar essa imundice;
1440,Este criminoso tem que voltar prisão 😱😱,1,https://www.instagram.com/p/B42JqHMFyiu/,Este criminoso tem que voltar prisão,Este criminoso tem que voltar prisão;
1441,▪DE QUE HONRA ÊSSE MERD...ESTÁ FALANDO!???,1,https://www.instagram.com/p/B42JqHMFyiu/,DE QUE HONRA ÊSSE MERD...ESTÁ FALANDO,ÊSSE MERD...;
1442,SEGURANÇA NACIONAL JÁ PRA PRENDER ESSE TERRORISTA!!! 👊🇧🇷,1,https://www.instagram.com/p/B42JqHMFyiu/,SEGURANÇA NACIONAL JÁ PRA PRENDER ESSE TERRORISTA,ESSE TERRORISTA;
1443,Filho da puta vagabundo!,1,https://www.instagram.com/p/B42JqHMFyiu/,Filho da puta vagabundo,Filho da puta; vagabundo;
1444,"Vagabundo, safado! ...incentivando o vandalismo. 😡",1,https://www.instagram.com/p/B42JqHMFyiu/,"Vagabundo, safado; incentivando o vandalismo",Vagabundo; safado;
1445,"Se tiver que lutar pelo futuro dos meus filhos e a melhoria do meu país , eu volto para as forças armadas sem salário e ajudo a combater a esquerdalha. #lulaterroristanacadeia",1,https://www.instagram.com/p/B42JqHMFyiu/,esquerdalha; #lulaterroristanacadeia,esquerdalha; #lulaterroristanacadeia
1446,Tu ta doído rato,1,https://www.instagram.com/p/B42JqHMFyiu/,Tu ta doído rato,Tu ta doído rato
1447,"Que nojo dessa gentalha da esquerda, são o submundo do mal!!😡",1,https://www.instagram.com/p/B42JqHMFyiu/,Que nojo dessa gentalha da esquerda; são o submundo do mal,Que nojo dessa gentalha da esquerda; são o submundo do mal;
1448,"INCENTIVADO À GUERRA, VOLTA ESSE HOMEM PARA CADEIA. DEMÔNIO CHEFE 😝😝",1,https://www.instagram.com/p/B42JqHMFyiu/,INCENTIVADO À GUERRA; VOLTA ESSE HOMEM PARA CADEIA; DEMÔNIO,INCENTIVADO À GUERRA; VOLTA ESSE HOMEM PARA CADEIA; DEMÔNIO CHEFE;
1449,Velho maluco tem que botar para a cadeia.,1,https://www.instagram.com/p/B42JqHMFyiu/,Velho maluco; botar para a cadeia,Velho maluco;
1450,Esse terrorista tem que voltar pra CADEIA.,1,https://www.instagram.com/p/B42JqHMFyiu/,terrorista; voltar pra CADEIA,Esse terrorista;
1451,Lula desgraçado,1,https://www.instagram.com/p/B42JqHMFyiu/,Lula desgraçado,Lula desgraçado
1452,Esse CANALHA já devia ter voltado para a cadeia de segurança máxima.,1,https://www.instagram.com/p/B42JqHMFyiu/,CANALHA; cadeia de segurança máxima,Esse CANALHA;
1453,Esse verme tem que ir preso de verdade. Ele está tentando fazer uma revolução em nosso país. Não é possível que ninguém está vendo isso....😡💪🏼,1,https://www.instagram.com/p/B42JqHMFyiu/,verme; preso de verdade,Esse verme;
1454,Esse Lula é retardado,1,https://www.instagram.com/p/B42JqHMFyiu/,retardado,é retardado
1455,"Cretino este homem. Ele é do mal, cada dia mais tem provado isso. Mas Deus é Senhor, e há de dar a vitória a quem O segue! #bolsonaro",1,https://www.instagram.com/p/B42JqHMFyiu/,Cretino este homem; Ele é do mal,Cretino este homem; Ele é do mal;
1456,Moro coloca este bandido na cadeia por favor . Cadê os filhos dele que não apareceu pra encontrar o pai ?🤡🤡🤡🤡,1,https://www.instagram.com/p/B42JqHMFyiu/,este bandido; na cadeia,este bandido;
1457,Na cadeia se fazia de coitadinho e abaixava a cabeça. Agora... Voltou o Lula Raiz. Medo desta turma hein?!,1,https://www.instagram.com/p/B42JqHMFyiu/,Na cadeia se fazia de coitadinho e abaixava a cabeça; Voltou o Lula Raiz,se fazia de coitadinho e abaixava a cabeça; Medo desta turma hein;
1458,"Esse velho maldito tem que voltar pra cadeia, lá é o lugar desse safado.",1,https://www.instagram.com/p/B42JqHMFyiu/,"Esse velho maldito tem que voltar pra cadeia, lá é o lugar desse safado",Esse velho maldito; desse safado;
1459,"Deus, que nus livra desse demônio do Lula, lulárapio e na cadeia",1,https://www.instagram.com/p/B42JqHMFyiu/,"nus livra desse demônio do Lula, lulárapio e na cadeia",lulárapio; desse demônio;
1460,"Não consigo ouvir a voz deste lula,repúdio total da cara dele e voz dele😡😡😡😡",1,https://www.instagram.com/p/B42JqHMFyiu/,"Não consigo ouvir a voz deste lula,repúdio total da cara dele e voz dele",repúdio total da cara dele e voz dele;
1461,"A gente tem que enforcar esse marginal em praça pública para que sirva de exemplo aos seus seguidores, esse sujeito além de marginal é terrorista !!!",1,https://www.instagram.com/p/B42JqHMFyiu/,A gente tem que enforcar esse marginal em praça pública; marginal; terrorista,A gente tem que enforcar esse marginal em praça pública; marginal; terrorista;
1462,Esse homem é o demônio,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse homem é o demônio,Esse homem é o demônio;
1463,Esse lula e um merda,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse lula e um merda,Esse lula e um merda;
1464,Vagabundo desordeiro!,1,https://www.instagram.com/p/B42JqHMFyiu/,Vagabundo desordeiro,Vagabundo; desordeiro;
1465,Condenado cale sua boca,1,https://www.instagram.com/p/B42JqHMFyiu/,Condenado cale sua boca,Condenado cale sua boca;
1466,Esse Lula tá mostrando a cara esse bandido @lulaoficial,1,https://www.instagram.com/p/B42JqHMFyiu/,tá mostrando a cara esse bandido,esse bandido;
1467,"Foi prá isso quê o Lula ladrão foi solto?? Quê vergonha, Brasil..",1,https://www.instagram.com/p/B42JqHMFyiu/,Foi prá isso quê o Lula ladrão foi solto? Quê vergonha,Lula ladrão; Quê vergonha;
1468,"""A gente recuperar esse país"" ele quer dizer a corja Ptralha né? vão abrir as portas da cadeia pra tirar os outros ?e arquivar processos e investigações sobre os q estão soltos?inocente ou BURRO vc hein Lula ,acha que o cidadão de bem vai aceitar VCs de volta no poder ???#ptnunca #LULAFICHASUJA #STFVERGONHANACIONAL #nojo de quem idolatra BANDIDO",1,https://www.instagram.com/p/B42JqHMFyiu/,corja Ptralha; inocente; BURRO; acha que o cidadão de bem vai aceitar VCs de volta no poder; #ptnunca; #LULAFICHASUJA; #STFVERGONHANACIONAL; #nojo; idolatra BANDIDO,a corja Ptralha; BURRO; #LULAFICHASUJA; #STFVERGONHANACIONAL; #nojo; idolatra BANDIDO;
1469,Picareta vai pro inferno verme nojento 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1,https://www.instagram.com/p/B42JqHMFyiu/,Picareta vai pro inferno verme nojento,picareta; vai pro inferno verme nojento;
1470,LULA é ladrão.,1,https://www.instagram.com/p/B42JqHMFyiu/,LULA é ladrão,LULA é ladrão;
1471,Põe ele pra fora do Brasil,1,https://www.instagram.com/p/B42JqHMFyiu/,Põe ele pra fora do Brasil,Põe ele pra fora do Brasil
1472,"Luladrao incentivando a violência,absurdo em sortear esse lixo",1,https://www.instagram.com/p/B42JqHMFyiu/,Luladrao incentivando a violência; esse lixo,Luladrao; esse lixo;
1473,Isss aí @bolsonarosp 👏👏👏👏(Carniça humana!!!!! Lula)!!!!!,1,https://www.instagram.com/p/B42JqHMFyiu/,Carniça humana,Carniça humana;
1474,Tem que prender por incitação a violência.,1,https://www.instagram.com/p/B42JqHMFyiu/,Tem que prender por incitação a violência,Tem que prender por incitação a violência;
1475,Prenda esse bandido,1,https://www.instagram.com/p/B42JqHMFyiu/,Prenda esse bandido,Prenda esse bandido;
1476,Lula é um vagabundo safado,1,https://www.instagram.com/p/B42JqHMFyiu/,Lula é um vagabundo safado,Lula é um vagabundo safado;
1477,Não vou acionar o áudio porque não aguento a voz e o conteúdo dito pelo carniça.,1,https://www.instagram.com/p/B42JqHMFyiu/,não aguento a voz e o conteúdo dito pelo carniça,dito pelo carniça;
1478,Tem q voltar pra cadeia de onde não deveria ter saído. É uma ameaça para o 🇧🇷,1,https://www.instagram.com/p/B42JqHMFyiu/,Tem q voltar pra cadeia de onde não deveria ter saído,Tem q voltar pra cadeia de onde não deveria ter saído; É uma ameaça para o Brasil;
1479,Filho do diabo,1,https://www.instagram.com/p/B42JqHMFyiu/,Filho do diabo,Filho do diabo;
1480,Essa porra eh o diabo,1,https://www.instagram.com/p/B42JqHMFyiu/,Essa porra eh o diabo,Essa porra eh o diabo;
1481,Sem palavras pra esse canalha que quer provocar a baderna 😡😡😡,1,https://www.instagram.com/p/B42JqHMFyiu/,canalha que quer provocar a baderna,esse canalha; baderna;
1482,Esse 💩tem que provar é a sua inocência (não tem como provar) e não atacar o Moro.,1,https://www.instagram.com/p/B42JqHMFyiu/,Esse 💩; não tem como provar; atacar,Esse merda;
1483,O bom é saber que ele esta com 74 anos e em breve capota.,1,https://www.instagram.com/p/B42JqHMFyiu/,ele esta com 74 anos e em breve capota,ele esta com 74 anos e em breve capota;
1484,Este canalha estar livre é uma vergonha.,1,https://www.instagram.com/p/B42JqHMFyiu/,Este canalha estar livre é uma vergonha.,Este canalha estar livre é uma vergonha;
1485,Loucos adorando e idolatrando um loco..... Affff....quanta tolice e cegueira desse povo. Muito triste...😔😢😭 Acorda BRASIL! 🇧🇷💚💛💙 Estamos sobre Nova Direção. Brasil Acima de Tudo e Deus Acima de Todos❣️ 🤗🙏🏻🙌🏼🙌🏼,1,https://www.instagram.com/p/B42JqHMFyiu/,Loucos adorando e idolatrando um loco; quanta tolice e cegueira desse povo,Loucos adorando e idolatrando um loco; quanta tolice e cegueira desse povo;
1486,Tá repreendido seu Lula demônio.,1,https://www.instagram.com/p/B42JqHMFyiu/,repreendido; demônio,seu Lula demônio;
1487,É uma questão de honra cortar a cabeça dessas cobras . Olho por olho! Dente por dente!!! Não se pode aceitar traição e roubo nesse país..…,1,https://www.instagram.com/p/B42JqHMFyiu/,É uma questão de honra cortar a cabeça dessas cobras; Olho por olho; Dente por dente; traição; roubo,É uma questão de honra cortar a cabeça dessas cobras;
1488,Diabo em pessoa esse ladrão safado,1,https://www.instagram.com/p/B42JqHMFyiu/,Diabo em pessoa; ladrão; safado,Diabo em pessoa; esse ladrão safado;
1489,"Deus da misericórdia, livrai-nos desse mal!!! Eu não mereço nem ouvir a voz dele. Senhor tende piedade de nós!!!O cara enlouqueceu, a sede de poder dele, já matou muita gente!!!",1,https://www.instagram.com/p/B42JqHMFyiu/,"Eu não mereço nem ouvir a voz dele; O cara enlouqueceu, a sede de poder dele, já matou muita gente",O cara enlouqueceu
1490,ESTE CANALHA NÃO PODE FICAR SOLTO .GRAÇAS A ESTE STF COMPOSTO PORINCOMPETENTES METADE COM RABO PRESO A DEFENDER BANDIDOD Q PODEM AGREDIR DOM FRASES TERRIVEIS NOSSO PRESIDENTE E SEUS MINISTROS INCLUSIVE ESTE BEBADO DECREPTO AGRIDE O MINISTRO MORO COM PALAVROES NÃO ACONTECE NADA MAIS DAÍ A INVESTIGAR MINISTRO DO STF. NAO PODE. Q DEMOCRACIA É ETA?,1,https://www.instagram.com/p/B42JqHMFyiu/,CANALHA; NÃO PODE FICAR SOLTO; INCOMPETENTES; RABO PRESO; DEFENDER BANDIDO;  BEBADO; DECREPTO,ESTE CANALHA;  ESTE BEBADO DECREPTO; INCOMPETENTES;
1491,Mete bala nesses bandidos ! To com com vcs 🤜🏻🤛🏻,1,https://www.instagram.com/p/B42JqHMFyiu/,Mete bala nesses bandidos,Mete bala nesses bandidos;
1492,"Pra tinha que emudecer esse canalha ladrao safado, tem que lavar isso que ele chama de boca pra falar de. Moro",1,https://www.instagram.com/p/B42JqHMFyiu/,tinha que emudecer; canalha; ladrao; safado; lavar isso que ele chama de boca,canalha; ladrao; safado;
1493,"Um condenado chamando ministro desta palavra tão ofensiva, ao meu ver já deveria estar preso por desacato a autoridades e muitas outras coisas !!! #demonionacadeia",1,https://www.instagram.com/p/B42JqHMFyiu/,Um condenado; já deveria estar preso; #demonionacadeia,#demonionacadeia;
1494,Como me espanta esse Bandido poder falar desse jeito de uma autoridade e nada ser feito contra ele ???? Pq essa blindagem ao Lula ????,1,https://www.instagram.com/p/B42JqHMFyiu/,Bandido; nada ser feito contra ele; blindagem ao Lula,esse Bandido
1495,Esse calhorda nunca mais terá a força que nosso Brasil tem hoje 👏🏻👏🏻👏🏻👏🏻,1,https://www.instagram.com/p/B42JqHMFyiu/,calhorda,Esse calhorda;
1496,"Quem vai dar lado para imundice dessa,🤮🤮🤮",1,https://www.instagram.com/p/B42JqHMFyiu/,Quem vai dar lado para imundice dessa,Quem vai dar lado para imundice dessa;
1497,Louco...psicopata...sem noção....seu lugar eh atrás das grades...inflamando o povo rebelde contra a nação.... porque vocês não vão morar no vou ME.. .na Bolívia.. .em Cuba.. .como militantes despatriados?,1,https://www.instagram.com/p/B42JqHMFyiu/,Louco; psicopata; sem noção; seu lugar eh atrás das grades; militantes despatriados,Louco...psicopata...sem noção; seu lugar eh atrás das grades; militantes despatriados?;
1498,"Esse desgraçado incentivando guerra civil. Exército fica de olho, bandidos tem q está na cadeia. Esse partido sempre incentivou guerrilhas, são uns, pilantras miseráveis.",1,https://www.instagram.com/p/B42JqHMFyiu/,desgraçado; incentivando guerra civil; bandidos tem q está na cadeia; sempre incentivou guerrilhas; pilantras; miseráveis,pilantras; miseráveis; bandidos; esse desgraçado;
1499,Não consigo entender...o porque que esse homem zomba na cara da justiça e dos brasileiros do jeito que ele faz....dá nojo esse tipo🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮homem irritante...sem noção esse lula ladrão,1,https://www.instagram.com/p/B42JqHMFyiu/,esse homem zomba na cara da justiça e dos brasileiros; dá nojo; irritante; sem noção esse lula ladrão,esse homem zomba na cara da justiça; homem irritante; sem noção esse lula ladrão;
1500,"Ainda bem, q esses bandidos não estão mais no poder.",1,https://www.instagram.com/p/B42JqHMFyiu/,bandidos,esses bandidos
1501,Eles são canalhas.. Covardes.. Destruíram nosso país.. Nos roubaram descaradamente.. Não se importam nem um pouco com nossa nação.. Apenas buscam seus próprios interesses e são doentes pelo poder.. Querem estar no controle.. Querem o poder a qualquer custo!.. Nós não recuaremos.. Nós venceremos!.. E eles serão envergonhados!... 🇧🇷🇧🇷,1,https://www.instagram.com/p/B42JqHMFyiu/,canalhas; Covardes; Destruíram nosso país; Nos roubaram descaradamente; Não se importam nem um pouco com nossa nação; buscam seus próprios interesses e são doentes pelo poder; Querem o poder a qualquer custo; serão envergonhados,Covardes; Não se importam nem um pouco com nossa nação; canalhas; Nos roubaram descaradamente; Apenas buscam seus próprios interesses e são doentes pelo poder; Querem o poder a qualquer custo;
